RIVPACS Model,End Group,Season Code,Season,TL1 BMWP,TL1 NTAXA,TL1 ASPT,"TL2 WHPT Score (nonAb,DistFam)","TL2 WHPT NTAXA (nonAb,DistFam)","TL2 WHPT ASPT (nonAb,DistFam)","TL2 WHPT Score (nonAb,CompFam)","TL2 WHPT NTAXA (nonAb,CompFam)","TL2 WHPT ASPT (nonAb,CompFam)","TL2 WHPT Score (AbW,DistFam)","TL2 WHPT NTAXA (AbW,DistFam)","TL2 WHPT ASPT (AbW,DistFam)","TL2 WHPT Score (AbW,CompFam)","TL2 WHPT NTAXA (AbW,CompFam)","TL2 WHPT ASPT (AbW,CompFam)",TL1 AWIC(Fam),TL4 AWIC(Sp) Murphy,TL5 AWIC(Sp) Murphy,TL4 WFD AWIC(Sp) McFarland,TL5 WFD AWIC(Sp) McFarland,TL4 Raddum,TL5 Raddum,TL4 SEPA % Acid Sensitive Taxa,TL5 SEPA % Acid Sensitive Taxa,TL4 MetTol,TL5 MetTol,TL1/2 LIFE(Fam) (CompFam),TL2 LIFE(Fam) (DistFam),TL3 LIFE(Fam) (DistFam),TL4 LIFE(Sp),TL5 LIFE(Sp),TL3 PSI(Fam),TL4 PSI(Sp),TL5 PSI(Sp),TL3 E-PSI(fam69),TL4 E-PSI(mixed level),TL5 E-PSI(mixed level),TL4 oFSIsp,TL5 oFSIsp,TL4 ToFSIsp,TL5 ToFSIsp,TL4 CoFSIsp,TL5 CoFSIsp,TL4 GSFI FI05,TL5 GSFI FI05,TL4 GSFI FI09,TL5 GSFI FI09,TL4 GSFI FI091,TL5 GSFI FI091,TL4 GSFI FI091_K,TL5 GSFI FI091_K,TL4 GSFI FI092,TL5 GSFI FI092,TL4 GSFI FI11_12,TL5 GSFI FI11_12,TL4 GSFI FI14_16,TL5 GSFI FI14_16,TL4 GSFI FI15_17,TL5 GSFI FI15_17,TL4 GSFI FI152,TL5 GSFI FI152,TL2 SPEAR(Fam) %,TL4 SPEAR(Sp) %,TL5 SPEAR(Sp) %,SPEAR(pesticides) TL2 fam Knillmann 2018,SPEAR(refuge) TL2 fam Knillmann 2018,SPEAR(pesticides) TL4 sp Knillmann 2018,SPEAR(refuge) TL4 sp Knillmann 2018,SPEAR(pesticides) TL5 sp Knillmann 2018,SPEAR(refuge) TL5 sp Knillmann 2018,TL4 CCI,TL5 CCI,TL2 08 Group ARMI NTaxa,TL2 08 Group ARMI Score,TL2 33 Group ARMI NTaxa,TL2 33 Group ARMI Score,TL2 33 Group Flow & Silt NTaxa,TL2 33 Group Flow & Silt Score,TL2 14 Group Urban NTaxa,TL2 14 Group Urban Score
RIVPACS IV GB,14,5,Spring & Autumn,123.42857,18.19048,6.81167,145.17619,19,7.68843,143.23333,18.80952,7.66557,148.5,19,7.85362,146.59524,18.80952,7.83395,4.00524,6.1891,6.18214,8.12995,8.1211,1,1,60.86157,60.33019,42.83881,42.81943,8.03195,8.03281,8.03281,8.80181,8.81705,81.14848,94.96081,94.95638,98.63386,99.07124,98.97805,6.17933,6.32805,6.43786,6.26933,5.81971,5.77571,0.16371,0.067,1.22305,1.23381,1.22286,1.23357,1.33981,1.34643,0.77924,0.77881,0.38038,0.33548,1.653,1.76062,1.0709,1.0521,1.17595,1.00643,68.77943,70.46943,73.17052,80.76314,92.83262,98.46029,90.77224,83.29152,92.3489,13.16433,12.49995,5,10.09524,12.52381,20,12.52381,27.57143,7.85714,14.14286
RIVPACS IV GB,14,6,Summer & Autumn,126.04762,18.7619,6.71752,145.88571,19.47619,7.5179,144.28095,19.33333,7.48695,147.11905,19.47619,7.58505,145.47619,19.33333,7.55248,4.19129,6.47395,6.4691,8.59152,8.5871,1,1,56.51657,55.99438,42.91371,41.82443,7.98162,7.97967,7.97967,8.68962,8.70524,79.96895,94.55729,94.674,98.0909,98.82157,98.75271,6.12314,6.35124,5.83671,5.74314,5.4581,5.48438,0.04443,0.02252,1.19876,1.20205,1.19876,1.20205,1.30629,1.31548,0.80505,0.80433,0.47929,0.43652,1.62114,1.78176,1.07276,1.06043,1.16186,0.96514,63.34676,66.69143,69.81119,73.84843,93.39981,97.75205,90.52629,76.361,92.79305,12.14648,12.09024,5.66667,10.85714,13.52381,21.95238,13.52381,28.90476,8.61905,15
RIVPACS IV GB,14,7,"Spring, Summer & Autumn",146.52381,21.42857,6.84876,170.38571,22.47619,7.60938,167.62857,22.19048,7.58295,174.24762,22.47619,7.78429,171.52381,22.19048,7.76095,4.1661,6.28886,6.28271,8.33343,8.32619,1,1,56.7609,56.41024,43.01738,42.27095,7.9721,7.97143,7.97143,8.76762,8.78476,79.62276,94.12476,93.90662,97.95029,98.74767,98.61357,6.14076,6.34486,5.92576,5.8871,5.51486,5.56414,0.23638,0.16924,1.1779,1.18838,1.17771,1.18819,1.27048,1.27814,0.85271,0.85214,0.52967,0.49462,1.61324,1.75943,1.07138,1.05762,1.1761,0.99395,65.45243,67.78162,71.84629,75.79224,93.20767,98.09205,90.56057,78.28367,92.6091,13.00771,12.41462,5.80952,12.33333,14.66667,25.19048,14.66667,31.7619,8.80952,16.80952
RIVPACS IV GB,15,1,Spring,105.18182,15.54545,6.76018,122.43636,16.18182,7.57345,120.35455,15.90909,7.57509,122.60909,16.18182,7.54409,120.58182,15.90909,7.55064,3.79336,6.07609,6.07609,7.82518,7.82518,0.95455,0.95455,32.12873,31.97727,42.66209,42.91845,7.87873,7.87909,7.87909,8.66418,8.68064,81.15018,94.38891,93.69009,98.05964,98.59445,98.59445,6.12545,6.26364,6.36636,6.19864,5.76027,5.713,-0.06673,-0.01909,1.10955,1.11309,1.10955,1.11309,1.29382,1.29427,0.77882,0.77709,0.47545,0.37964,1.40464,1.66045,1.15764,1.13064,1.229,0.97,65.419,65.30955,68.85164,64.98164,91.45436,98.02009,85.30664,74.77464,88.42382,10.57091,8.09418,4.36364,7.81818,10.63636,16.63636,10.63636,21.90909,6.90909,11.36364
RIVPACS IV GB,15,2,Summer,93.90909,14.81818,6.28027,105.02727,15.18182,6.85018,104.00909,15.09091,6.82927,105.28182,15.18182,6.86382,104.29091,15.09091,6.84418,4.42364,6.947,6.947,9.21273,9.21273,1,1,21.79055,21.73255,44.11836,42.45264,7.75355,7.74818,7.74818,8.48255,8.49036,80.77127,92.69055,91.83691,97.05718,98.12855,98.13536,6.08,6.42764,5.13091,4.97055,5.04136,5.07155,-0.04018,-0.04018,1.02809,1.034,1.02809,1.034,0.93436,0.92855,0.76473,0.75927,0.57909,0.49282,1.43545,1.61182,1.12591,1.14536,1.18045,0.88718,54.06682,56.18145,60.22164,55.09373,92.39682,98.49027,82.57973,57.84982,90.62973,10.55855,9.96345,5.45455,10.09091,11.81818,21,11.81818,22.45455,8.18182,14.09091
RIVPACS IV GB,15,3,Autumn,105.36364,15.90909,6.58318,120.19091,16.36364,7.30482,118.55455,16.18182,7.283,121.47273,16.36364,7.35873,120.01818,16.18182,7.34873,4.15882,5.95064,5.93891,7.83355,7.82018,0.95455,0.95455,35.45636,35.185,42.64936,41.28727,7.67455,7.67455,7.67455,8.59327,8.60445,79.67509,91.42336,91.22373,98.76064,98.56509,98.56509,6.04982,6.21018,5.90436,5.85655,5.471,5.49991,-0.01564,0.02464,1.14227,1.15564,1.14227,1.15564,1.20127,1.20127,0.75582,0.75473,0.77045,0.73736,1.39091,1.54918,0.96464,0.907,1.22273,0.828,64.039,65.86818,70.36345,72.17473,85.28673,98.14645,78.82373,76.19373,83.68418,11.06,10.99018,4.72727,8.81818,11.81818,18.81818,11.81818,25.09091,7.09091,11.90909
RIVPACS IV GB,15,4,Spring & Summer,135.90909,20.09091,6.71791,154.38182,20.81818,7.38973,151.97273,20.54545,7.37155,156.66364,20.81818,7.488,154.18182,20.54545,7.46855,4.02336,6.19573,6.19573,8.11091,8.11091,1,1,24.57218,24.51827,43.66327,42.52536,7.79173,7.79773,7.79773,8.70082,8.71345,79.46991,93.25809,92.47036,96.97027,98.09627,98.102,6.05745,6.34536,5.67245,5.62245,5.34182,5.41373,0.12118,0.12636,1.07673,1.08409,1.07673,1.08409,1.13409,1.13145,0.84736,0.84609,0.67455,0.616,1.41545,1.62064,1.09336,1.07418,1.19682,0.94945,59.96791,61.71591,66.98655,56.48364,92.62373,98.34173,85.01164,61.38445,90.52518,11.56227,9.80918,5.54545,11.72727,13.45455,25.72727,13.45455,27.54545,8.63636,16.54545
RIVPACS IV GB,15,5,Spring & Autumn,133.36364,19.63636,6.78027,153.67273,20.54545,7.48036,151.42727,20.27273,7.46964,158.24545,20.54545,7.70373,156.07273,20.27273,7.69918,3.99182,5.957,5.94691,7.78336,7.77191,1,1,36.26,36.01855,42.66209,41.78936,7.79291,7.79855,7.79855,8.75,8.76545,79.62073,93.02864,92.49491,98.03791,98.62609,98.62609,6.02382,6.22036,6.08255,6.043,5.56327,5.60927,0.03345,0.05936,1.14845,1.16127,1.14845,1.16127,1.21182,1.20836,0.77773,0.77545,0.64645,0.57836,1.41491,1.607,1.01936,0.96955,1.22655,0.96373,65.37718,65.69109,71.14627,70.17436,87.50373,98.01064,80.53109,75.99982,85.441,12.58182,10.85055,4.90909,10.72727,13.45455,24,13.45455,28.54545,7.72727,14.90909
RIVPACS IV GB,15,6,Summer & Autumn,136.45455,20.27273,6.69927,153.94545,21,7.30209,152.14545,20.81818,7.28045,157.32727,21,7.45627,155.58182,20.81818,7.43855,4.26218,6.14255,6.13245,8.16873,8.15836,1,1,30.30773,30.10791,43.44573,41.46145,7.73418,7.73464,7.73464,8.65473,8.66055,79.35364,91.659,91.04673,97.26345,98.10527,98.10809,6.05191,6.34455,5.53645,5.50082,5.26227,5.34418,0.09718,0.13173,1.11145,1.11618,1.11145,1.11618,1.08918,1.08918,0.82127,0.81882,0.75827,0.70036,1.41973,1.60382,1.02455,0.96718,1.16864,0.91773,61.23745,63.10809,68.81909,63.83382,88.06136,98.32373,79.17,66.88745,85.93345,11.81618,11.23827,5.54545,12.81818,14.09091,27.54545,14.09091,30.09091,8.63636,17.36364
RIVPACS IV GB,15,7,"Spring, Summer & Autumn",154.27273,22.45455,6.85227,174.64545,23.45455,7.44091,172.21818,23.18182,7.42355,179.5,23.45455,7.64391,176.91818,23.18182,7.62218,4.14209,6.01318,6.00436,7.90864,7.89927,1,1,31.01273,30.83309,43.404,41.83791,7.77182,7.78127,7.78127,8.75591,8.76136,78.52345,92.11673,91.41345,97.06418,98.14436,98.14636,6.03518,6.31655,5.70318,5.69718,5.35145,5.44627,0.15364,0.17591,1.11736,1.12655,1.11736,1.12655,1.12855,1.12464,0.84527,0.84291,0.73691,0.68227,1.40855,1.596,1.02655,0.97655,1.18309,0.963,63.03236,64.39773,70.67564,63.58673,89.29664,98.28973,81.08709,68.02564,86.98945,12.91245,11.17164,5.54545,13.36364,14.81818,30.27273,14.81818,32.27273,8.72727,18.27273
RIVPACS IV GB,16,1,Spring,131.88235,19.82353,6.63835,155.26471,21.29412,7.27747,151.14118,20.82353,7.24665,159.41765,21.29412,7.47741,155.41176,20.82353,7.45541,4.17347,6.46235,6.46235,8.58953,8.58953,0.97059,0.97059,46.63618,46.56618,45.18382,44.75447,7.904,7.89641,7.89641,8.82306,8.84271,77.33718,92.64624,92.93465,96.37871,97.64124,97.53735,6.18347,6.38994,5.94288,5.90835,5.53953,5.59206,0.22165,0.25218,1.21376,1.22465,1.21353,1.22435,1.24029,1.24182,0.80306,0.80818,0.44224,0.38994,1.47441,1.64888,1.08706,1.11229,1.28918,1.10418,60.27347,60.92212,64.22953,66.04253,93.30159,95.20747,87.65141,73.51088,91.17141,9.47294,9.17124,5.52941,12,14.05882,25.05882,14.05882,29.52941,8.35294,16.58824
RIVPACS IV GB,16,2,Summer,118.82353,18.64706,6.35765,140.86471,20.52941,6.85229,138.38235,20.23529,6.83035,143.34706,20.52941,6.97041,141.05294,20.23529,6.95865,4.624,7.14841,7.14841,9.68712,9.68712,0.97059,0.97059,34.81665,34.70771,45.09118,44.06959,7.858,7.85235,7.85235,8.678,8.708,75.50476,91.32771,91.52635,94.55618,97.42129,97.19471,6.12418,6.37588,5.28524,5.22188,5.14471,5.19647,0.23724,0.18712,1.17153,1.17259,1.17182,1.17288,1.11176,1.11476,0.87706,0.87576,0.49829,0.36671,1.42771,1.64841,1.09906,1.14106,1.26435,0.99553,51.64047,50.612,55.44976,47.29176,88.79694,97.52035,73.44094,52.66671,86.18171,12.52841,11.918,6.52941,13.29412,15.11765,27.76471,15.11765,30.70588,9.70588,18.23529
RIVPACS IV GB,16,3,Autumn,122,19.11765,6.37018,147.41765,20.70588,7.11353,143.86471,20.35294,7.07159,151.40588,20.70588,7.30759,147.79412,20.35294,7.26647,4.39753,6.71353,6.71353,9.11771,9.11771,1,1,49.29782,49.17129,43.97706,43.15282,7.93276,7.92859,7.92859,8.99188,9.02659,77.23459,94.85271,94.417,97.26206,99.10294,98.86424,6.11318,6.28712,5.83229,5.724,5.45212,5.451,0.11959,0.11094,1.22953,1.24841,1.22947,1.24776,1.18041,1.18482,0.79194,0.80118,0.24371,0.10359,1.46018,1.67871,1.11053,1.17506,1.28482,1.03294,56.74947,56.81147,60.29571,64.67818,91.95112,93.38453,87.208,73.57229,90.20235,11.82453,11.33047,5.76471,12.94118,14.58824,28,14.58824,31.70588,8.82353,17.52941
RIVPACS IV GB,16,4,Spring & Summer,161.29412,23.88235,6.73541,191.25294,26.41176,7.23206,186.69412,25.88235,7.20471,196.48235,26.41176,7.44171,192.13529,25.88235,7.42606,4.34441,6.56818,6.56818,8.87724,8.87724,0.97059,0.97059,41.43994,41.34547,44.88171,43.84959,7.86788,7.86494,7.86494,8.89018,8.91247,75.75676,91.85524,92.13929,94.74894,97.28412,97.08335,6.12735,6.33912,5.60053,5.60253,5.32512,5.40018,0.36671,0.36794,1.16476,1.17318,1.16476,1.17318,1.18235,1.18718,0.87388,0.87665,0.62224,0.56576,1.47453,1.65094,1.07706,1.10612,1.24688,1.046,57.79041,58.59047,63.51971,57.59035,91.163,96.391,81.40888,63.07041,88.89912,13.16165,12.62106,6.70588,15.94118,16.64706,34.23529,16.64706,34.88235,9.94118,20.88235
RIVPACS IV GB,16,5,Spring & Autumn,155.94118,23.47059,6.63265,186.39412,25.58824,7.27871,180.78235,25,7.22759,193.44706,25.58824,7.55729,187.78824,25,7.50959,4.31106,6.50024,6.50024,8.72782,8.72782,1,1,47.32141,47.26929,44.68053,43.92688,7.87782,7.88241,7.88241,8.99118,9.01247,75.99218,93.23071,93.094,95.97424,98.07588,97.88494,6.14024,6.34135,5.86794,5.82818,5.48182,5.52935,0.30935,0.32582,1.22118,1.24159,1.22129,1.24129,1.18741,1.19365,0.853,0.86512,0.44935,0.37318,1.45912,1.64847,1.07,1.10747,1.25965,1.06447,58.06406,58.90347,63.25624,65.20053,91.532,94.32018,85.87565,71.75676,89.38265,11.63741,11.19671,6,15.11765,16.29412,33.76471,16.29412,35.47059,9.23529,20.11765
RIVPACS IV GB,16,6,Summer & Autumn,152.29412,23.29412,6.52353,183.64706,25.94118,7.07335,179.44118,25.47059,7.04288,189.76471,25.94118,7.30653,185.55294,25.47059,7.28041,4.48365,6.75488,6.75488,9.20865,9.20865,1,1,38.63671,38.52665,44.20988,42.903,7.85553,7.84771,7.84771,8.95753,8.99088,74.52376,92.65453,92.57241,94.89994,97.99435,97.77788,6.08012,6.29635,5.52459,5.49294,5.26547,5.323,0.31318,0.28641,1.18224,1.19682,1.18247,1.19671,1.16129,1.16788,0.86888,0.87712,0.50871,0.38447,1.44994,1.66082,1.08388,1.13271,1.24535,1.02218,55.14447,55.04847,60.29418,54.16941,89.90865,94.67724,80.39088,60.15959,87.86888,13.62082,13.22312,6.76471,16.70588,16.88235,35.88235,16.88235,37.52941,10,21.52941
RIVPACS IV GB,16,7,"Spring, Summer & Autumn",173.70588,25.82353,6.70988,208.38824,28.76471,7.23918,202.62353,28.11765,7.20188,215.58824,28.76471,7.49241,209.65882,28.11765,7.45447,4.40559,6.54,6.54,8.83676,8.83676,1,1,41.95612,41.87635,44.49394,43.34418,7.885,7.88071,7.88071,9.00506,9.03218,75.29424,92.42929,92.393,94.83176,97.63953,97.42471,6.11329,6.31465,5.64494,5.62659,5.34559,5.40524,0.41818,0.41935,1.17829,1.19594,1.17853,1.19588,1.16618,1.175,0.88482,0.89559,0.59165,0.51359,1.46318,1.64429,1.06559,1.099,1.23624,1.05024,57.54018,58.37524,63.73253,58.93824,90.78129,95.00047,82.67265,64.53547,88.71494,13.53641,13.16476,6.76471,18.05882,17.64706,39.70588,17.64706,39.52941,10.05882,22.94118
RIVPACS IV GB,17,1,Spring,163.13333,25.53333,6.40007,195.04667,28.86667,6.75873,189.82667,28.2,6.73447,197.94,28.86667,6.86427,192.55333,28.2,6.83687,4.683,7.1226,7.0936,9.79107,9.7758,1,1,33.77187,33.7358,46.89893,43.99287,7.77773,7.78647,7.78647,8.4728,8.53027,68.82347,79.8334,79.19093,90.65467,92.97193,92.47267,6.22287,6.4642,4.92927,4.97473,4.97653,5.08667,-0.16693,-0.16567,0.6568,0.73727,0.68413,0.7676,0.9192,0.9378,0.72227,0.73813,-0.09153,-0.15407,0.98267,1.04433,0.9978,0.9968,1.25253,0.99107,50.51727,46.94873,52.4018,48.4352,89.96947,88.13687,78.32227,48.75207,87.39407,14.7578,12.74147,6.86667,15.8,19.4,38.46667,19.4,37.86667,11.6,22.73333
RIVPACS IV GB,17,2,Summer,135.33333,22.26667,6.0494,161.1,25.13333,6.3996,155.10667,24.33333,6.36467,163.92,25.13333,6.51233,158.34667,24.33333,6.4982,4.9738,7.39593,7.36553,10.22887,10.20773,1,1,35.4724,35.1888,45.19513,41.39213,7.9822,7.97307,7.97307,8.38027,8.44147,70.1576,79.34287,80.38667,88.14193,92.6482,91.79553,6.1168,6.3642,4.6788,4.67467,4.79707,4.88087,-0.32567,-0.49547,0.60353,0.73193,0.61353,0.74447,0.81027,0.82347,0.6848,0.68067,0.28693,0.17693,0.9998,1.04813,0.98833,0.96827,1.20433,0.9852,44.00653,42.71713,47.12093,43.6638,92.70033,80.2844,80.11253,43.31207,90.6046,14.1574,13.23527,7.13333,15.86667,19.53333,37.53333,19.53333,39.53333,11.8,22.46667
RIVPACS IV GB,17,3,Autumn,143.6,23.93333,5.9676,175.07333,26.93333,6.46607,169.66667,26.26667,6.4236,177.86,26.93333,6.5694,172.61333,26.26667,6.53593,4.86027,7.35267,7.32533,10.20893,10.19767,1,1,36.17007,35.6934,45.28893,42.53293,7.65547,7.65827,7.65827,8.35473,8.40493,65.1354,74.7474,75.00807,87.8112,92.25013,91.47007,6.15633,6.31767,4.9436,4.908,4.96147,4.99753,-0.35633,-0.48153,0.4594,0.60947,0.46967,0.62133,0.73673,0.75707,0.59933,0.65,0.08507,0.01453,0.82633,0.84067,0.97627,0.96927,1.22247,0.9874,43.3504,40.70787,43.31147,41.16747,98.21293,76.8898,96.08347,48.76507,97.96947,13.332,13.14967,6.13333,13.66667,19.33333,37.26667,19.33333,38.46667,11.06667,20.46667
RIVPACS IV GB,17,4,Spring & Summer,191.26667,29.86667,6.40047,229.09333,34.2,6.70247,221.10667,33.13333,6.6776,233.4,34.2,6.83413,225.50667,33.13333,6.81453,4.7428,7.14527,7.11253,9.9528,9.92647,1,1,35.87853,35.7246,46.2406,42.71887,7.78713,7.79467,7.79467,8.49467,8.57353,67.96067,78.52593,78.7146,88.75407,92.54493,92.08153,6.18167,6.40947,4.89393,4.90313,4.94207,5.02673,-0.171,-0.23267,0.61353,0.71833,0.6316,0.7394,0.8622,0.8698,0.72587,0.74547,0.15993,0.0714,0.994,1.04667,1.01293,1.00667,1.23313,1.02333,50.38333,47.27167,53.8098,48.23187,90.1994,86.75933,76.4744,48.63213,87.40933,16.0766,15.2912,7.26667,19.53333,22.4,48.4,22.4,46.53333,12.33333,26.6
RIVPACS IV GB,17,5,Spring & Autumn,203.6,31.73333,6.4138,244.96667,36.33333,6.74,237.64,35.4,6.7102,248.83333,36.33333,6.8546,241.81333,35.4,6.83507,4.69053,7.13433,7.10267,9.97307,9.95087,1,1,35.1276,34.992,46.3928,42.95533,7.66827,7.69227,7.69227,8.47953,8.5422,67.7614,77.39507,77.24093,89.15247,92.47987,92.0204,6.1748,6.37253,4.95433,4.96867,4.97407,5.05133,-0.22213,-0.27647,0.5374,0.65627,0.5588,0.68167,0.8012,0.8048,0.67047,0.7196,0.07733,0.0098,0.88907,0.8976,0.9894,0.98247,1.24033,1.0182,50.1278,46.29433,52.05313,46.36313,93.89593,81.8142,86.91653,49.2426,92.20467,15.94147,15.45827,7.2,18.26667,22.6,47.93333,22.6,46.73333,12.6,25.8
RIVPACS IV GB,17,6,Summer & Autumn,186.26667,29.6,6.2814,221.79333,33.6,6.59,214.16667,32.6,6.55973,224.85333,33.6,6.68413,217.58667,32.6,6.66667,4.78393,7.34947,7.32233,10.3068,10.28867,1,1,35.2816,34.8962,45.6536,42.04413,7.72847,7.7414,7.7414,8.42053,8.4914,66.86887,75.89673,76.6672,87.72213,92.12547,91.38967,6.13687,6.3668,4.79333,4.77567,4.86907,4.9394,-0.29207,-0.40473,0.48227,0.63093,0.4938,0.64493,0.72247,0.73233,0.64047,0.6762,0.21647,0.14213,0.8816,0.8982,0.99627,0.9902,1.22113,1.03107,46.991,43.7326,48.72213,42.7992,95.0552,79.29513,87.54033,46.1468,93.67687,14.83027,14.4468,7.33333,18.4,22.6,48,22.6,46.53333,12.6,25.6
RIVPACS IV GB,17,7,"Spring, Summer & Autumn",216.66667,33.73333,6.42173,259.87333,38.8,6.69613,251.45333,37.66667,6.6756,264.16667,38.8,6.81293,255.86,37.66667,6.7974,4.71127,7.12207,7.0912,10.02393,9.9952,1,1,35.631,35.42573,46.21933,42.51053,7.68007,7.69453,7.69453,8.49267,8.57387,66.64667,76.64687,76.9686,88.0014,92.09687,91.57307,6.14647,6.35147,4.93267,4.94153,4.9518,5.0284,-0.18933,-0.24407,0.52487,0.65393,0.5422,0.67513,0.778,0.7782,0.67847,0.72293,0.19013,0.11827,0.91347,0.9296,1.0064,1.00247,1.2394,1.0408,50.43,46.92433,53.5404,46.32967,92.81347,82.97647,83.0886,48.51373,90.6772,16.36833,15.95453,7.46667,20.53333,23.73333,53.4,23.73333,49.8,12.93333,27.53333
RIVPACS IV GB,18,1,Spring,118.04545,18.72727,6.26709,144.45909,21.09091,6.82632,139.40455,20.40909,6.80705,144.11364,21.09091,6.79332,139.28182,20.40909,6.78336,4.62636,7.14845,7.13986,9.64455,9.64127,1,1,43.9965,43.95918,47.85236,45.36173,7.90664,7.89845,7.89845,8.50077,8.51482,73.24605,86.80827,86.40091,93.82341,95.68391,95.31764,6.25191,6.47877,5.204,5.254,5.143,5.25064,-0.33273,-0.30623,0.96818,0.97891,0.99355,1.00727,1.15223,1.17391,0.76695,0.74991,0.04495,-0.0145,1.17282,1.37864,1.05386,1.05018,1.22382,0.79182,51.78768,47.96445,54.73736,52.59623,93.47977,91.92427,87.48264,55.2605,92.48018,11.17055,9.40118,6,11.5,14.81818,25.36364,14.81818,29.40909,9.95455,16.27273
RIVPACS IV GB,18,2,Summer,119.59091,19.86364,6.011,145.05455,22.22727,6.52909,138.33636,21.36364,6.478,146.88182,22.22727,6.61545,140.28182,21.36364,6.575,4.8925,7.4415,7.41677,10.24386,10.24555,1,1,42.30723,41.84255,45.30768,42.15241,7.96009,7.96223,7.96223,8.57409,8.62645,73.76168,84.26536,85.36968,93.12145,95.72736,95.41927,6.14336,6.375,4.94273,4.86905,4.95645,4.99532,-0.47332,-0.62314,0.84386,0.92864,0.84777,0.93291,0.9855,1.00109,0.7325,0.74327,0.30909,0.21545,1.14568,1.31518,1.02823,1.0185,1.197,0.90245,48.33627,47.24273,52.14832,53.59695,92.17573,90.69409,86.46677,56.28045,91.29782,11.02527,9.04636,6.68182,14.81818,16.90909,32.27273,16.90909,34.77273,10.95455,20
RIVPACS IV GB,18,3,Autumn,119,19.63636,6.03623,144.7,21.63636,6.667,139.26364,20.95455,6.62977,145.55,21.63636,6.7005,140.32273,20.95455,6.67523,4.77482,7.23673,7.20141,9.81314,9.79577,1,1,50.24491,49.88105,46.00309,43.537,7.78955,7.78973,7.78973,8.43586,8.46332,69.46705,82.22514,83.77245,93.71595,95.88586,95.69795,6.25491,6.40023,5.22868,5.19291,5.15809,5.18855,-0.36609,-0.45673,0.85914,0.88073,0.85914,0.88073,1.03286,1.03809,0.75045,0.75241,0.18641,0.09632,1.09491,1.22082,1.04482,1.045,1.20886,0.82245,48.08586,46.44836,50.5225,56.66495,98.05509,87.00423,95.87536,62.79745,97.49959,9.54868,9.44505,6.09091,12.09091,15.81818,27,15.81818,30.63636,10.04545,17.18182
RIVPACS IV GB,18,4,Spring & Summer,156.63636,24.68182,6.33336,192.9,28.31818,6.80409,185.77727,27.36364,6.78241,195.6,28.31818,6.89545,188.29091,27.36364,6.87123,4.64086,7.22055,7.19341,9.93927,9.92836,1,1,41.43205,41.159,46.71086,43.40164,7.86555,7.87141,7.87141,8.61577,8.65455,71.81205,84.12745,84.54655,92.83814,95.58114,95.21464,6.16845,6.38136,5.08309,5.08164,5.04514,5.11864,-0.30691,-0.38291,0.85477,0.91982,0.86909,0.93532,1.02036,1.03532,0.76782,0.7755,0.25214,0.16586,1.14123,1.30364,1.022,1.00623,1.20086,0.89345,51.69959,48.52327,55.63282,52.63132,91.59936,91.71009,85.02095,54.6645,90.48118,12.13532,10.53227,6.81818,16.54545,18.5,37.86364,18.5,38.45455,11.40909,21.95455
RIVPACS IV GB,18,5,Spring & Autumn,155.18182,24.59091,6.29882,191.24091,27.95455,6.83773,184.23636,27.04545,6.80927,193.21364,27.95455,6.9065,186.27273,27.04545,6.88336,4.60468,7.11945,7.09136,9.71545,9.70241,1,1,47.68986,47.48009,46.92641,43.77991,7.79123,7.80932,7.80932,8.51159,8.54327,70.6575,83.15364,83.88632,93.28868,95.464,95.20868,6.20045,6.40495,5.17295,5.20114,5.1075,5.19468,-0.3535,-0.39977,0.87255,0.891,0.88714,0.90664,1.00873,1.01805,0.75168,0.74468,0.186,0.10095,1.09091,1.23768,1.02845,1.01568,1.21559,0.87895,50.70836,47.28245,54.3245,54.96882,95.9175,89.56055,91.20905,58.882,94.83109,12.12345,11.38,6.54545,14.77273,18.13636,34.54545,18.13636,36.45455,11.04545,20.27273
RIVPACS IV GB,18,6,Summer & Autumn,153.72727,24.90909,6.16736,187.39545,28.04545,6.68091,179.5,27.04545,6.63605,190.39091,28.04545,6.78859,182.35,27.04545,6.74232,4.78705,7.22105,7.18609,9.97895,9.96236,1,1,44.94873,44.55373,45.6835,42.46532,7.78859,7.8085,7.8085,8.57041,8.62977,70.11491,81.63223,82.84186,92.69191,95.54705,95.20782,6.16164,6.36155,5.05759,5.03214,5.02805,5.08355,-0.31245,-0.43036,0.81605,0.89582,0.819,0.89914,0.96036,0.97027,0.76745,0.77982,0.32686,0.23736,1.09591,1.22555,1.01723,1.012,1.21305,0.94341,49.95405,47.51736,53.72195,53.42659,94.78727,88.40582,90.231,57.19245,93.91355,11.57436,10.21209,6.90909,16.86364,19.27273,39.40909,19.27273,40.13636,11.5,22.36364
